alpha,seed,rejected_empty_client,empty_client_ids,hd_pairwise_rms,hd_pairwise_mean,zero_cells,size_min,size_max,size_max_min_ratio,mean_absent_classes_per_client,target_hd,hd_condition
1.3,4000,False,,0.30364404655445043,0.25614907743507787,0.0,314805,4697110.0,14.92069693937517,0.0,0.25,hd_0p25
1.3,4001,False,,0.16882112945096164,0.16326460293213615,0.0,1071686,4823540.0,4.50088925300881,0.0,0.25,hd_0p25
1.3,4002,False,,0.25470712717506677,0.23137091284240566,0.0,1250628,5520965.0,4.41455412800609,0.0,0.25,hd_0p25
1.3,4003,False,,0.29127559115708374,0.26269179689264743,0.0,906359,4668550.0,5.150883921271814,0.0,0.25,hd_0p25
1.3,4004,False,,0.31850064129646977,0.2943867170248512,0.0,755021,6129295.0,8.118045723231539,0.0,0.25,hd_0p25
1.3,4005,False,,0.21313615389681972,0.19603472977903408,0.0,732239,5514174.0,7.53056583984191,0.0,0.25,hd_0p25
1.3,4006,False,,0.18635017721163968,0.18132188172383987,0.0,1229656,3855743.0,3.1356273624493354,0.0,0.25,hd_0p25
1.3,4007,False,,0.20249831216721337,0.19269096292539517,0.0,836882,4579946.0,5.472630550065601,0.0,0.25,hd_0p25
1.3,4008,False,,0.10266051870125995,0.09705319688583555,0.0,1542565,3740400.0,2.4247924722783156,0.0,0.25,hd_0p25
1.3,4009,False,,0.17324319280567987,0.1613809978156911,0.0,1122321,5183336.0,4.618407746090468,0.0,0.25,hd_0p25
1.3,4010,False,,0.1939312568055386,0.1836497559120414,0.0,1519958,4384706.0,2.884754710327522,0.0,0.25,hd_0p25
1.3,4011,False,,0.248045958813296,0.2274247722161193,0.0,959290,4626995.0,4.823353730363081,0.0,0.25,hd_0p25
1.3,4012,False,,0.19823428791233197,0.18263992506328272,0.0,934470,8544482.0,9.143666463342857,0.0,0.25,hd_0p25
1.3,4013,False,,0.1962943484741396,0.17686310053689436,0.0,988250,4569246.0,4.623572982544903,0.0,0.25,hd_0p25
1.3,4014,False,,0.13906874720804477,0.13343787255705675,0.0,963634,4380271.0,4.545575394807572,0.0,0.25,hd_0p25
1.3,4015,False,,0.16386573051399972,0.1567120291575898,0.0,877432,3544855.0,4.0400338715706745,0.0,0.25,hd_0p25
1.3,4016,False,,0.22622278806316926,0.20838900919738906,0.0,1160332,4945264.0,4.261938824405429,0.0,0.25,hd_0p25
1.3,4017,False,,0.39475633468278937,0.3507502794935557,0.0,701876,8216702.0,11.706771566487527,0.0,0.25,hd_0p25
1.3,4018,False,,0.1657289801443068,0.15398197761583216,0.0,981238,4854798.0,4.947625346755833,0.0,0.25,hd_0p25
1.3,4019,False,,0.19054772681994891,0.1793231691204245,0.0,1013460,5632872.0,5.558060505594695,0.0,0.25,hd_0p25
1.3,4020,False,,0.18868946726008887,0.17733766150508096,0.0,927458,5523244.0,5.955249725594043,0.0,0.25,hd_0p25
1.3,4021,False,,0.08477250340841103,0.08103635133170965,0.0,1618976,3546299.0,2.190458042614591,0.0,0.25,hd_0p25
1.3,4022,False,,0.319637777242044,0.2808426777014482,0.0,516477,6786647.0,13.140269557018028,0.0,0.25,hd_0p25
1.3,4023,False,,0.2066199097595483,0.19062430091225122,0.0,1265416,3869370.0,3.0577849497714586,0.0,0.25,hd_0p25
1.3,4024,False,,0.20245647130806366,0.18950504506523883,0.0,1755076,4257891.0,2.4260436585082354,0.0,0.25,hd_0p25
1.3,4025,False,,0.2616767741115213,0.23284134075577123,0.0,554131,6367742.0,11.491401852630515,0.0,0.25,hd_0p25
1.3,4026,False,,0.21096059904512654,0.20136066511625023,0.0,1104586,7928162.0,7.177496365154004,0.0,0.25,hd_0p25
1.3,4027,False,,0.17217996717828113,0.1637449143276991,0.0,1315591,4290549.0,3.261309175876089,0.0,0.25,hd_0p25
