alpha,seed,rejected_empty_client,empty_client_ids,fedartml_hd,hd_pairwise_mean,hd_pairwise_rms,zero_cells,size_min,size_max,size_max_min_ratio,mean_absent_classes_per_client,target_hd,hd_condition
0.4,5027,False,,0.6136085324186824,0.5787784476991886,0.6136085324186823,7,174648,10459006,59.88620539599652,1.4,0.25,hd_0p25
0.4,5028,False,,0.7307503062909719,0.7022412846966686,0.7307503062909719,6,89797,11097879,123.58852745637382,1.2,0.25,hd_0p25
0.4,5029,False,,0.4466676649224591,0.3965693474356045,0.446667664922459,14,1011313,4615949,4.564312927847264,2.8,0.25,hd_0p25
0.5,5000,False,,0.6372226462090477,0.5738227421510598,0.6372226462090477,12,439449,6077040,13.828771939405938,2.4,0.25,hd_0p25
0.5,5001,False,,0.6669314876753488,0.6248186305003391,0.6669314876753488,6,657759,9436490,14.346424754355318,1.2,0.25,hd_0p25
0.5,5002,False,,0.4928717450455564,0.45222217071106147,0.4928717450455564,12,400398,6877576,17.176849035209965,2.4,0.25,hd_0p25
0.5,5003,False,,0.5151425044697572,0.4572350280359849,0.5151425044697571,7,807865,7951744,9.84291187265199,1.4,0.25,hd_0p25
0.5,5004,False,,0.6100268667529234,0.5646675769705574,0.6100268667529233,12,385553,8021472,20.805108506482895,2.4,0.25,hd_0p25
0.5,5005,False,,0.43388559548068945,0.42429760626206825,0.4338855954806894,6,267464,8638787,32.29887760595818,1.2,0.25,hd_0p25
0.5,5006,False,,0.6033120901423041,0.5674224126856282,0.6033120901423041,4,518310,10198182,19.675834925044857,0.8,0.25,hd_0p25
0.5,5007,False,,0.5437024534005835,0.4776735258141399,0.5437024534005835,17,714665,5331401,7.460000139925699,3.4,0.25,hd_0p25
0.5,5008,False,,0.5924356065611395,0.5297459524921491,0.5924356065611395,11,553399,5648979,10.207786786748802,2.2,0.25,hd_0p25
0.5,5009,False,,0.4406772537806151,0.42341459207495874,0.44067725378061506,6,673702,8210728,12.18747754942096,1.2,0.25,hd_0p25
0.5,5010,False,,0.5931758557348559,0.4810959879734331,0.593175855734856,18,745514,5257430,7.052087553017113,3.6,0.25,hd_0p25
0.5,5011,False,,0.5507917374986082,0.48493598970809676,0.5507917374986082,10,886539,5089591,5.740966838458319,2.0,0.25,hd_0p25
0.5,5012,False,,0.37744572341722715,0.3632749249968067,0.37744572341722715,5,721516,8532824,11.82624363146486,1.0,0.25,hd_0p25
0.5,5013,False,,0.461914135053606,0.4413784327685473,0.461914135053606,6,196896,9493311,48.21484946367625,1.2,0.25,hd_0p25
0.5,5014,False,,0.5845539707333101,0.5449662611813987,0.5845539707333101,11,463448,6040151,13.033071671471234,2.2,0.25,hd_0p25
0.5,5015,False,,0.31535366457774194,0.30432986895038344,0.3153536645777419,6,1037725,5678424,5.471993061745645,1.2,0.25,hd_0p25
0.5,5016,False,,0.4657305022841597,0.43351444964328645,0.4657305022841597,6,562546,9590120,17.04770809853772,1.2,0.25,hd_0p25
0.5,5017,False,,0.5646759765638456,0.4766543098080923,0.5646759765638456,9,739391,6192702,8.375408951420832,1.8,0.25,hd_0p25
0.5,5018,False,,0.5417110917357133,0.4901409937933202,0.5417110917357133,12,273732,5267083,19.241751055777183,2.4,0.25,hd_0p25
0.5,5019,False,,0.4873158648108403,0.45936746547495827,0.48731586481084027,6,475104,9348726,19.677220145483936,1.2,0.25,hd_0p25
0.5,5020,False,,0.3943918296906292,0.3343735218662664,0.39439182969062914,20,1959842,2999449,1.530454495821602,4.0,0.25,hd_0p25
0.5,5021,False,,0.4896007475704928,0.4306674108243412,0.48960074757049277,12,516384,4436723,8.591906410733097,2.4,0.25,hd_0p25
0.5,5022,False,,0.4220988083528754,0.39011458446268654,0.4220988083528754,13,1119881,6187016,5.524708428841993,2.6,0.25,hd_0p25
0.5,5023,False,,0.4909021755661563,0.435436092814966,0.4909021755661562,13,337150,4737630,14.051994661130061,2.6,0.25,hd_0p25
0.5,5024,False,,0.41975255135749256,0.40193381425179375,0.4197525513574925,7,751809,6615704,8.799713757084579,1.4,0.25,hd_0p25
0.5,5025,False,,0.6252370315563006,0.5061374435486931,0.6252370315563006,19,399964,4211085,10.528660079407146,3.8,0.25,hd_0p25
0.5,5026,False,,0.625758726945869,0.5938038207062151,0.625758726945869,6,357109,8926553,24.996718088874825,1.2,0.25,hd_0p25
0.5,5027,False,,0.5485925416436817,0.5132389306974968,0.5485925416436818,6,208582,9978202,47.83826984111764,1.2,0.25,hd_0p25
0.5,5028,False,,0.6705440412185839,0.6396975988530951,0.6705440412185838,6,195679,10732794,54.84898226176544,1.2,0.25,hd_0p25
0.5,5029,False,,0.4060852160066695,0.36283412187645536,0.40608521600666947,14,1166324,4332669,3.714807377709796,2.8,0.25,hd_0p25
0.75,5000,False,,0.5263574782709687,0.47555285574559836,0.5263574782709687,12,734714,5540960,7.5416556646531845,2.4,0.25,hd_0p25
0.75,5001,False,,0.500616863277388,0.4879344125468356,0.500616863277388,9,250860,8321505,33.17190863429801,1.8,0.25,hd_0p25
0.75,5002,False,,0.41826196327008586,0.38270066568031724,0.41826196327008586,12,564962,6029021,10.67155136097649,2.4,0.25,hd_0p25
0.75,5003,False,,0.4891974092135276,0.4292398756014645,0.4891974092135276,12,1171384,6935993,5.9211949283923975,2.4,0.25,hd_0p25
0.75,5004,False,,0.4748402714609337,0.43337661820694084,0.47484027146093366,11,1019161,6596705,6.472681941322323,2.2,0.25,hd_0p25
0.75,5005,False,,0.3589078245602346,0.35215133906843044,0.3589078245602346,9,489711,7571568,15.461298602645234,1.8,0.25,hd_0p25
